Sentence	Label
Sai che oggi ho visto un film molto bello?	fuoriCont
Ho 45 anni e non ho mai fatto attività fisica.	inserDatiGener
Mi piacerebbe esaminare i dati sulla frequenza che ho registrato nell’ultima settimana.	richiestaStatsFreqSett
Mi piacerebbe esaminare il dato più recente sulla frequenza che ho registrato.	richiestaStatsFreqRece
Potrei controllare le misurazioni dei sette giorni precedenti?	richiestaStatsGenerSett
Desidero visualizzare i miei dati sulla frequenza cardiaca degli ultimi sette giorni.	richiestaStatsFreqSett
Quali sono le opzioni di trattamento farmacologico per l’ipertensione?	spiegazioni
Hai mai provato a fare yoga?	FuoriCont
Sono rilassato e la mia pressione sanguigna è rimasta costante per tutta la settimana.	pazienteSereno
Desidero consultare le registrazioni degli ultimi 7 giorni.	richiestaStatsGenerSett
Vorrei dare un’occhiata a tutte le letture della frequenza cardiaca che ho inserito.	richiestaStatsFreqTot
Ho avuto un raffreddore che non sembra migliorare.	fuoriContMed
Sono un fumatore	inserDatiGener
Ho avuto problemi di sonno ultimamente.	fuoriContMed
Potrei controllare tutte le misurazioni della frequenza cardiaca che ho registrato?	richiestaStatsFreqTot
Vorrei dare un’occhiata alle ultime letture della frequenza cardiaca che ho inserito negli ultimi sette giorni.	richiestaStatsFreqSett
Vorrei sapere se l'andamento della mia pressione è stabile nel tempo	richiestaStatsGenerTotale
pressione di A su B.	inserDatiPress
Qual è l'ultimo dato sulla pressione sanguigna?	richiestaStatsPressRece
Ho misurato i miei dati: sistolica 120, diastolica 80 e frequenza cardiaca 75	inserDatiTot
X su Y	inserDatiPress
Potresti spiegarmi come l’ipertensione può influenzare la mia salute?	spiegazioni
Potresti mostrarmi le mie misurazioni della frequenza cardiaca dell’ultima settimana?	richiestaStatsFreqSett
Ho bisogno di aiuto urgentemente	pazienAllarmato
Mi piacerebbe controllare tutte le letture della pressione che ho registrato.	richiestaStatsPressTot
la mia alimentazione non è mai stata curata.	inserDatiGener
Ho X anni e ho una dieta equilibrata.	inserDatiGener
Faccio attività fisica regolare	inserDatiGener
Potrei vedere le misurazioni che ho registrato nell’ultimo mese?	richiestaStatsGenerMens
Qual è il miglior modo per effettuare una corretta misurazione delle pressione?	spiegazioni
Quant è importante tenere sotto traccia l'ipertensione?	spiegazioni
Vorrei rivedere i dati sulla frequenza che ho inserito nell’ultima settimana.	richiestaStatsFreqSett
Potrei controllare le misurazioni che ho registrato nelle ultime 4 settimane?	richiestaStatsGenerMens
Quali sono le mie misurazioni della frequenza cardiaca dell’ultimo mese?	richiestaStatsFreqMens
Qual è la mia ultima misurazione della pressione arteriosa che ti ho fornito?	richiestaStatsPressRece
Desidero visualizzare tutte le mie letture registrate.	richiestaStatsGenerTotale
